"","lhs","rhs","support","confidence","lift","count"
"37","{nannannannannanFrontLock1nannannannannannannannanLockednannannanManny Kinwebhook}","{nannannannannanFrontLock1nannannannannannannannanUnlockednannannan Manny Kinwebhook}",1,1,1,29
"38","{nannannannannanFrontLock1nannannannannannannannanUnlockednannannan Manny Kinwebhook}","{nannannannannanFrontLock1nannannannannannannannanLockednannannanManny Kinwebhook}",1,1,1,29
"39","{nannannannannanFrontLock1nannannannannannannannanLockednannannanManny Kinwebhook}","{person}",1,1,1,29
"40","{person}","{nannannannannanFrontLock1nannannannannannannannanLockednannannanManny Kinwebhook}",1,1,1,29
"41","{nannannannannanFrontLock1nannannannannannannannanUnlockednannannan Manny Kinwebhook}","{person}",1,1,1,29
"42","{person}","{nannannannannanFrontLock1nannannannannannannannanUnlockednannannan Manny Kinwebhook}",1,1,1,29
"145","{nannannannannanFrontLock1nannannannannannannannanLockednannannanManny Kinwebhook,nannannannannanFrontLock1nannannannannannannannanUnlockednannannan Manny Kinwebhook}","{person}",1,1,1,29
"146","{nannannannannanFrontLock1nannannannannannannannanLockednannannanManny Kinwebhook,person}","{nannannannannanFrontLock1nannannannannannannannanUnlockednannannan Manny Kinwebhook}",1,1,1,29
"147","{nannannannannanFrontLock1nannannannannannannannanUnlockednannannan Manny Kinwebhook,person}","{nannannannannanFrontLock1nannannannannannannannanLockednannannanManny Kinwebhook}",1,1,1,29
"31","{nannannannannanAlexanannannannanVoice Deactivationnannannannannanlampnannanwebhook}","{nannannannannanFrontLock1nannannannannannannannanLockednannannanManny Kinwebhook}",0.96551724137931,1,1,28
"32","{nannannannannanFrontLock1nannannannannannannannanLockednannannanManny Kinwebhook}","{nannannannannanAlexanannannannanVoice Deactivationnannannannannanlampnannanwebhook}",0.96551724137931,0.96551724137931,1,28
"33","{nannannannannanAlexanannannannanVoice Deactivationnannannannannanlampnannanwebhook}","{nannannannannanFrontLock1nannannannannannannannanUnlockednannannan Manny Kinwebhook}",0.96551724137931,1,1,28
"34","{nannannannannanFrontLock1nannannannannannannannanUnlockednannannan Manny Kinwebhook}","{nannannannannanAlexanannannannanVoice Deactivationnannannannannanlampnannanwebhook}",0.96551724137931,0.96551724137931,1,28
"35","{nannannannannanAlexanannannannanVoice Deactivationnannannannannanlampnannanwebhook}","{person}",0.96551724137931,1,1,28
"36","{person}","{nannannannannanAlexanannannannanVoice Deactivationnannannannannanlampnannanwebhook}",0.96551724137931,0.96551724137931,1,28
"136","{nannannannannanAlexanannannannanVoice Deactivationnannannannannanlampnannanwebhook,nannannannannanFrontLock1nannannannannannannannanLockednannannanManny Kinwebhook}","{nannannannannanFrontLock1nannannannannannannannanUnlockednannannan Manny Kinwebhook}",0.96551724137931,1,1,28
"137","{nannannannannanAlexanannannannanVoice Deactivationnannannannannanlampnannanwebhook,nannannannannanFrontLock1nannannannannannannannanUnlockednannannan Manny Kinwebhook}","{nannannannannanFrontLock1nannannannannannannannanLockednannannanManny Kinwebhook}",0.96551724137931,1,1,28
"138","{nannannannannanFrontLock1nannannannannannannannanLockednannannanManny Kinwebhook,nannannannannanFrontLock1nannannannannannannannanUnlockednannannan Manny Kinwebhook}","{nannannannannanAlexanannannannanVoice Deactivationnannannannannanlampnannanwebhook}",0.96551724137931,0.96551724137931,1,28
"139","{nannannannannanAlexanannannannanVoice Deactivationnannannannannanlampnannanwebhook,nannannannannanFrontLock1nannannannannannannannanLockednannannanManny Kinwebhook}","{person}",0.96551724137931,1,1,28
"140","{nannannannannanAlexanannannannanVoice Deactivationnannannannannanlampnannanwebhook,person}","{nannannannannanFrontLock1nannannannannannannannanLockednannannanManny Kinwebhook}",0.96551724137931,1,1,28
"141","{nannannannannanFrontLock1nannannannannannannannanLockednannannanManny Kinwebhook,person}","{nannannannannanAlexanannannannanVoice Deactivationnannannannannanlampnannanwebhook}",0.96551724137931,0.96551724137931,1,28
"142","{nannannannannanAlexanannannannanVoice Deactivationnannannannannanlampnannanwebhook,nannannannannanFrontLock1nannannannannannannannanUnlockednannannan Manny Kinwebhook}","{person}",0.96551724137931,1,1,28
