ServerTime,RFStatus,count
2018-04-13 20:34:00,RF-ATTACK,345
2018-04-13 20:35:00,RF-ATTACK,65
2018-04-13 20:38:00,RF-ATTACK,135
2018-04-13 20:41:00,RF-ATTACK,81
2018-04-13 20:46:00,RF-ATTACK,55
2018-04-13 20:47:00,RF-ATTACK,69
2018-04-13 20:49:00,RF-ATTACK,82
2018-04-13 20:51:00,RF-ATTACK,97
2018-04-13 20:52:00,RF-ATTACK,64
2018-04-19 20:24:00,RF-ATTACK,89
2018-04-19 20:25:00,RF-ATTACK,177
2018-04-19 20:26:00,RF-ATTACK,120
2018-04-19 20:27:00,RF-ATTACK,172
2018-04-19 20:28:00,RF-ATTACK,169
2018-04-19 20:48:00,RF-ATTACK,137
2018-04-19 20:49:00,RF-ATTACK,78
2018-04-19 20:56:00,RF-ATTACK,157
2018-04-19 20:57:00,RF-ATTACK,74
2018-04-19 21:05:00,RF-ATTACK,103
2018-04-19 21:06:00,RF-ATTACK,88
2018-04-19 21:11:00,RF-ATTACK,93
2018-04-19 21:13:00,RF-ATTACK,92
2018-04-19 21:23:00,RF-ATTACK,403
2018-04-19 21:24:00,RF-ATTACK,260
