Date,Hour,Minute,count,ServerTime,RFStatus
2018-04-13,15,54,1,2018-04-13 15:54:00,RF
2018-04-13,18,2,3,2018-04-13 18:02:00,RF
2018-04-13,19,24,3,2018-04-13 19:24:00,RF
2018-04-13,19,25,3,2018-04-13 19:25:00,RF
2018-04-13,19,28,3,2018-04-13 19:28:00,RF
2018-04-13,19,30,5,2018-04-13 19:30:00,RF
2018-04-13,19,31,3,2018-04-13 19:31:00,RF
2018-04-13,19,33,3,2018-04-13 19:33:00,RF
2018-04-13,19,36,3,2018-04-13 19:36:00,RF
2018-04-13,19,40,4,2018-04-13 19:40:00,RF
2018-04-13,19,43,4,2018-04-13 19:43:00,RF
2018-04-13,19,44,4,2018-04-13 19:44:00,RF
2018-04-13,19,46,1,2018-04-13 19:46:00,RF
2018-04-13,20,5,4,2018-04-13 20:05:00,RF
2018-04-13,20,34,345,2018-04-13 20:34:00,RF-ATTACK
2018-04-13,20,35,65,2018-04-13 20:35:00,RF-ATTACK
2018-04-13,20,37,46,2018-04-13 20:37:00,RF
2018-04-13,20,38,135,2018-04-13 20:38:00,RF-ATTACK
2018-04-13,20,40,25,2018-04-13 20:40:00,RF
2018-04-13,20,41,81,2018-04-13 20:41:00,RF-ATTACK
2018-04-13,20,44,24,2018-04-13 20:44:00,RF
2018-04-13,20,45,3,2018-04-13 20:45:00,RF
2018-04-13,20,46,55,2018-04-13 20:46:00,RF-ATTACK
2018-04-13,20,47,69,2018-04-13 20:47:00,RF-ATTACK
2018-04-13,20,48,2,2018-04-13 20:48:00,RF
2018-04-13,20,49,82,2018-04-13 20:49:00,RF-ATTACK
2018-04-13,20,50,48,2018-04-13 20:50:00,RF
2018-04-13,20,51,97,2018-04-13 20:51:00,RF-ATTACK
2018-04-13,20,52,64,2018-04-13 20:52:00,RF-ATTACK
2018-04-13,20,54,15,2018-04-13 20:54:00,RF
2018-04-13,20,57,3,2018-04-13 20:57:00,RF
2018-04-13,21,1,3,2018-04-13 21:01:00,RF
2018-04-13,21,2,16,2018-04-13 21:02:00,RF
2018-04-13,21,4,3,2018-04-13 21:04:00,RF
2018-04-13,21,5,30,2018-04-13 21:05:00,RF
2018-04-13,21,7,22,2018-04-13 21:07:00,RF
2018-04-13,21,8,23,2018-04-13 21:08:00,RF
2018-04-13,21,9,22,2018-04-13 21:09:00,RF
2018-04-13,21,10,28,2018-04-13 21:10:00,RF
2018-04-13,21,11,25,2018-04-13 21:11:00,RF
2018-04-13,21,12,26,2018-04-13 21:12:00,RF
2018-04-13,21,13,29,2018-04-13 21:13:00,RF
2018-04-13,21,14,24,2018-04-13 21:14:00,RF
2018-04-13,21,15,1,2018-04-13 21:15:00,RF
2018-04-13,21,16,42,2018-04-13 21:16:00,RF
2018-04-13,21,17,42,2018-04-13 21:17:00,RF
2018-04-13,21,18,45,2018-04-13 21:18:00,RF
2018-04-13,21,19,43,2018-04-13 21:19:00,RF
2018-04-13,21,20,39,2018-04-13 21:20:00,RF
2018-04-13,21,21,42,2018-04-13 21:21:00,RF
2018-04-13,21,22,32,2018-04-13 21:22:00,RF
2018-04-13,21,23,21,2018-04-13 21:23:00,RF
2018-04-13,21,24,23,2018-04-13 21:24:00,RF
2018-04-13,21,25,3,2018-04-13 21:25:00,RF
2018-04-13,21,35,22,2018-04-13 21:35:00,RF
2018-04-13,21,38,8,2018-04-13 21:38:00,RF
2018-04-13,22,16,5,2018-04-13 22:16:00,RF
2018-04-13,23,4,13,2018-04-13 23:04:00,RF
2018-04-13,23,17,2,2018-04-13 23:17:00,RF
2018-04-14,0,19,2,2018-04-14 00:19:00,RF
2018-04-14,1,3,2,2018-04-14 01:03:00,RF
2018-04-14,1,21,4,2018-04-14 01:21:00,RF
2018-04-14,2,23,4,2018-04-14 02:23:00,RF
2018-04-14,3,25,2,2018-04-14 03:25:00,RF
2018-04-14,4,27,2,2018-04-14 04:27:00,RF
2018-04-14,5,29,2,2018-04-14 05:29:00,RF
2018-04-14,6,10,2,2018-04-14 06:10:00,RF
2018-04-14,6,21,7,2018-04-14 06:21:00,RF
2018-04-14,6,32,6,2018-04-14 06:32:00,RF
2018-04-14,6,54,4,2018-04-14 06:54:00,RF
2018-04-14,7,34,4,2018-04-14 07:34:00,RF
2018-04-14,8,36,4,2018-04-14 08:36:00,RF
2018-04-14,9,39,3,2018-04-14 09:39:00,RF
2018-04-14,10,41,3,2018-04-14 10:41:00,RF
2018-04-14,11,43,3,2018-04-14 11:43:00,RF
2018-04-14,12,46,3,2018-04-14 12:46:00,RF
2018-04-14,13,48,4,2018-04-14 13:48:00,RF
2018-04-14,14,50,3,2018-04-14 14:50:00,RF
2018-04-14,15,53,2,2018-04-14 15:53:00,RF
2018-04-14,16,55,2,2018-04-14 16:55:00,RF
2018-04-14,17,37,5,2018-04-14 17:37:00,RF
2018-04-14,17,48,3,2018-04-14 17:48:00,RF
2018-04-14,17,58,4,2018-04-14 17:58:00,RF
2018-04-14,18,59,5,2018-04-14 18:59:00,RF
2018-04-14,19,0,4,2018-04-14 19:00:00,RF
2018-04-14,20,2,4,2018-04-14 20:02:00,RF
2018-04-14,20,3,3,2018-04-14 20:03:00,RF
2018-04-14,21,5,3,2018-04-14 21:05:00,RF
2018-04-14,22,7,3,2018-04-14 22:07:00,RF
2018-04-14,23,10,2,2018-04-14 23:10:00,RF
2018-04-15,0,12,2,2018-04-15 00:12:00,RF
2018-04-15,1,15,2,2018-04-15 01:15:00,RF
2018-04-15,1,28,3,2018-04-15 01:28:00,RF
2018-04-15,2,17,2,2018-04-15 02:17:00,RF
2018-04-15,3,20,3,2018-04-15 03:20:00,RF
2018-04-15,4,22,2,2018-04-15 04:22:00,RF
2018-04-15,5,25,4,2018-04-15 05:25:00,RF
2018-04-15,6,28,4,2018-04-15 06:28:00,RF
2018-04-15,7,30,3,2018-04-15 07:30:00,RF
2018-04-15,8,33,4,2018-04-15 08:33:00,RF
2018-04-15,9,35,4,2018-04-15 09:35:00,RF
2018-04-15,10,38,4,2018-04-15 10:38:00,RF
2018-04-15,11,41,1,2018-04-15 11:41:00,RF
2018-04-15,12,43,5,2018-04-15 12:43:00,RF
2018-04-15,13,46,4,2018-04-15 13:46:00,RF
2018-04-15,14,48,3,2018-04-15 14:48:00,RF
2018-04-15,15,51,4,2018-04-15 15:51:00,RF
2018-04-15,16,53,6,2018-04-15 16:53:00,RF
2018-04-15,17,56,2,2018-04-15 17:56:00,RF
2018-04-15,18,58,2,2018-04-15 18:58:00,RF
2018-04-15,20,1,4,2018-04-15 20:01:00,RF
2018-04-15,21,3,2,2018-04-15 21:03:00,RF
2018-04-15,22,6,4,2018-04-15 22:06:00,RF
2018-04-15,23,8,4,2018-04-15 23:08:00,RF
2018-04-16,0,11,2,2018-04-16 00:11:00,RF
2018-04-16,1,13,3,2018-04-16 01:13:00,RF
2018-04-16,2,16,5,2018-04-16 02:16:00,RF
2018-04-16,3,18,3,2018-04-16 03:18:00,RF
2018-04-16,4,21,3,2018-04-16 04:21:00,RF
2018-04-16,5,23,4,2018-04-16 05:23:00,RF
2018-04-16,6,26,2,2018-04-16 06:26:00,RF
2018-04-16,7,28,3,2018-04-16 07:28:00,RF
2018-04-16,8,31,4,2018-04-16 08:31:00,RF
2018-04-16,8,40,3,2018-04-16 08:40:00,RF
2018-04-16,9,33,3,2018-04-16 09:33:00,RF
2018-04-16,10,36,2,2018-04-16 10:36:00,RF
2018-04-16,11,39,4,2018-04-16 11:39:00,RF
2018-04-16,12,41,2,2018-04-16 12:41:00,RF
2018-04-16,13,25,4,2018-04-16 13:25:00,RF
2018-04-16,13,44,2,2018-04-16 13:44:00,RF
2018-04-16,14,28,3,2018-04-16 14:28:00,RF
2018-04-16,14,46,4,2018-04-16 14:46:00,RF
2018-04-16,14,49,8,2018-04-16 14:49:00,RF
2018-04-16,14,53,12,2018-04-16 14:53:00,RF
2018-04-16,15,0,6,2018-04-16 15:00:00,RF
2018-04-16,15,8,4,2018-04-16 15:08:00,RF
2018-04-16,15,48,4,2018-04-16 15:48:00,RF
2018-04-16,16,30,5,2018-04-16 16:30:00,RF
2018-04-16,16,50,2,2018-04-16 16:50:00,RF
2018-04-16,17,48,4,2018-04-16 17:48:00,RF
2018-04-16,17,53,4,2018-04-16 17:53:00,RF
2018-04-16,18,7,3,2018-04-16 18:07:00,RF
2018-04-16,18,10,5,2018-04-16 18:10:00,RF
2018-04-16,18,55,2,2018-04-16 18:55:00,RF
2018-04-16,19,57,2,2018-04-16 19:57:00,RF
2018-04-16,20,13,7,2018-04-16 20:13:00,RF
2018-04-16,20,16,6,2018-04-16 20:16:00,RF
2018-04-16,20,59,5,2018-04-16 20:59:00,RF
2018-04-16,22,1,2,2018-04-16 22:01:00,RF
2018-04-16,23,4,3,2018-04-16 23:04:00,RF
2018-04-16,23,38,1,2018-04-16 23:38:00,RF
2018-04-17,0,6,2,2018-04-17 00:06:00,RF
2018-04-17,1,8,3,2018-04-17 01:08:00,RF
2018-04-17,2,11,3,2018-04-17 02:11:00,RF
2018-04-17,3,13,4,2018-04-17 03:13:00,RF
2018-04-17,4,15,4,2018-04-17 04:15:00,RF
2018-04-17,5,18,2,2018-04-17 05:18:00,RF
2018-04-17,6,20,3,2018-04-17 06:20:00,RF
2018-04-17,7,13,2,2018-04-17 07:13:00,RF
2018-04-17,7,23,2,2018-04-17 07:23:00,RF
2018-04-17,8,25,2,2018-04-17 08:25:00,RF
2018-04-17,9,27,3,2018-04-17 09:27:00,RF
2018-04-17,10,30,4,2018-04-17 10:30:00,RF
2018-04-19,19,15,3,2018-04-19 19:15:00,RF
2018-04-19,19,19,4,2018-04-19 19:19:00,RF
2018-04-19,19,23,3,2018-04-19 19:23:00,RF
2018-04-19,19,27,4,2018-04-19 19:27:00,RF
2018-04-19,19,28,4,2018-04-19 19:28:00,RF
2018-04-19,19,31,3,2018-04-19 19:31:00,RF
2018-04-19,19,32,4,2018-04-19 19:32:00,RF
2018-04-19,19,35,3,2018-04-19 19:35:00,RF
2018-04-19,19,36,4,2018-04-19 19:36:00,RF
2018-04-19,19,38,2,2018-04-19 19:38:00,RF
2018-04-19,19,42,2,2018-04-19 19:42:00,RF
2018-04-19,19,43,3,2018-04-19 19:43:00,RF
2018-04-19,19,46,8,2018-04-19 19:46:00,RF
2018-04-19,19,52,7,2018-04-19 19:52:00,RF
2018-04-19,19,56,2,2018-04-19 19:56:00,RF
2018-04-19,20,16,2,2018-04-19 20:16:00,RF
2018-04-19,20,17,5,2018-04-19 20:17:00,RF
2018-04-19,20,20,3,2018-04-19 20:20:00,RF
2018-04-19,20,23,18,2018-04-19 20:23:00,RF
2018-04-19,20,24,89,2018-04-19 20:24:00,RF-ATTACK
2018-04-19,20,25,177,2018-04-19 20:25:00,RF-ATTACK
2018-04-19,20,26,120,2018-04-19 20:26:00,RF-ATTACK
2018-04-19,20,27,172,2018-04-19 20:27:00,RF-ATTACK
2018-04-19,20,28,169,2018-04-19 20:28:00,RF-ATTACK
2018-04-19,20,29,21,2018-04-19 20:29:00,RF
2018-04-19,20,31,3,2018-04-19 20:31:00,RF
2018-04-19,20,32,4,2018-04-19 20:32:00,RF
2018-04-19,20,34,3,2018-04-19 20:34:00,RF
2018-04-19,20,35,1,2018-04-19 20:35:00,RF
2018-04-19,20,37,5,2018-04-19 20:37:00,RF
2018-04-19,20,47,4,2018-04-19 20:47:00,RF
2018-04-19,20,48,137,2018-04-19 20:48:00,RF-ATTACK
2018-04-19,20,49,78,2018-04-19 20:49:00,RF-ATTACK
2018-04-19,20,52,3,2018-04-19 20:52:00,RF
2018-04-19,20,54,2,2018-04-19 20:54:00,RF
2018-04-19,20,55,45,2018-04-19 20:55:00,RF
2018-04-19,20,56,157,2018-04-19 20:56:00,RF-ATTACK
2018-04-19,20,57,74,2018-04-19 20:57:00,RF-ATTACK
2018-04-19,20,58,2,2018-04-19 20:58:00,RF
2018-04-19,21,3,3,2018-04-19 21:03:00,RF
2018-04-19,21,4,21,2018-04-19 21:04:00,RF
2018-04-19,21,5,103,2018-04-19 21:05:00,RF-ATTACK
2018-04-19,21,6,88,2018-04-19 21:06:00,RF-ATTACK
2018-04-19,21,10,47,2018-04-19 21:10:00,RF
2018-04-19,21,11,93,2018-04-19 21:11:00,RF-ATTACK
2018-04-19,21,12,7,2018-04-19 21:12:00,RF
2018-04-19,21,13,92,2018-04-19 21:13:00,RF-ATTACK
2018-04-19,21,22,7,2018-04-19 21:22:00,RF
2018-04-19,21,23,403,2018-04-19 21:23:00,RF-ATTACK
2018-04-19,21,24,260,2018-04-19 21:24:00,RF-ATTACK
2018-04-19,21,31,5,2018-04-19 21:31:00,RF
2018-04-19,21,39,5,2018-04-19 21:39:00,RF
2018-04-19,21,46,5,2018-04-19 21:46:00,RF
2018-04-19,22,14,2,2018-04-19 22:14:00,RF
2018-04-19,23,15,5,2018-04-19 23:15:00,RF
2018-04-20,0,16,3,2018-04-20 00:16:00,RF
2018-04-20,1,17,3,2018-04-20 01:17:00,RF
2018-04-20,2,18,4,2018-04-20 02:18:00,RF
2018-04-20,3,11,3,2018-04-20 03:11:00,RF
2018-04-20,3,19,5,2018-04-20 03:19:00,RF
2018-04-20,4,20,3,2018-04-20 04:20:00,RF
2018-04-20,5,21,5,2018-04-20 05:21:00,RF
2018-04-20,6,22,4,2018-04-20 06:22:00,RF
2018-04-20,9,25,3,2018-04-20 09:25:00,RF
2018-04-20,10,31,3,2018-04-20 10:31:00,RF
2018-04-20,12,46,3,2018-04-20 12:46:00,RF
2018-04-20,12,47,3,2018-04-20 12:47:00,RF
2018-04-20,12,48,2,2018-04-20 12:48:00,RF
2018-04-20,12,49,2,2018-04-20 12:49:00,RF
2018-04-20,12,50,4,2018-04-20 12:50:00,RF
2018-04-20,13,54,3,2018-04-20 13:54:00,RF
2018-04-20,13,56,2,2018-04-20 13:56:00,RF
2018-04-20,13,57,17,2018-04-20 13:57:00,RF
2018-04-20,13,58,1,2018-04-20 13:58:00,RF
2018-04-20,13,59,22,2018-04-20 13:59:00,RF
2018-04-20,14,0,14,2018-04-20 14:00:00,RF
2018-04-20,14,1,26,2018-04-20 14:01:00,RF
2018-04-20,14,3,13,2018-04-20 14:03:00,RF
2018-04-20,14,5,11,2018-04-20 14:05:00,RF
2018-04-20,14,7,2,2018-04-20 14:07:00,RF
2018-04-20,14,16,3,2018-04-20 14:16:00,RF
2018-04-20,14,17,2,2018-04-20 14:17:00,RF
2018-04-20,14,26,3,2018-04-20 14:26:00,RF
2018-04-20,14,27,2,2018-04-20 14:27:00,RF
2018-04-20,14,31,4,2018-04-20 14:31:00,RF
2018-04-20,14,37,6,2018-04-20 14:37:00,RF
2018-04-20,14,40,21,2018-04-20 14:40:00,RF
2018-04-20,14,41,8,2018-04-20 14:41:00,RF
2018-04-20,14,42,2,2018-04-20 14:42:00,RF
2018-04-20,14,43,17,2018-04-20 14:43:00,RF
2018-04-20,14,44,20,2018-04-20 14:44:00,RF
2018-04-20,14,46,17,2018-04-20 14:46:00,RF
2018-04-20,14,47,13,2018-04-20 14:47:00,RF
2018-04-20,14,48,5,2018-04-20 14:48:00,RF
2018-04-20,14,49,13,2018-04-20 14:49:00,RF
2018-04-20,14,50,26,2018-04-20 14:50:00,RF
2018-04-20,14,51,6,2018-04-20 14:51:00,RF
2018-04-20,14,52,8,2018-04-20 14:52:00,RF
2018-04-20,14,53,7,2018-04-20 14:53:00,RF
2018-04-20,14,54,11,2018-04-20 14:54:00,RF
2018-04-20,14,55,3,2018-04-20 14:55:00,RF
2018-04-20,14,58,2,2018-04-20 14:58:00,RF
2018-04-20,14,59,4,2018-04-20 14:59:00,RF
2018-04-20,15,8,2,2018-04-20 15:08:00,RF
2018-04-20,15,9,5,2018-04-20 15:09:00,RF
2018-04-20,15,10,11,2018-04-20 15:10:00,RF
2018-04-20,15,19,2,2018-04-20 15:19:00,RF
2018-04-20,15,20,19,2018-04-20 15:20:00,RF
2018-04-20,15,21,12,2018-04-20 15:21:00,RF
2018-04-20,15,23,5,2018-04-20 15:23:00,RF
2018-04-20,15,29,2,2018-04-20 15:29:00,RF
2018-04-20,15,30,4,2018-04-20 15:30:00,RF
2018-04-20,15,32,3,2018-04-20 15:32:00,RF
2018-04-20,15,35,3,2018-04-20 15:35:00,RF
2018-04-20,15,37,6,2018-04-20 15:37:00,RF
2018-04-20,15,39,1,2018-04-20 15:39:00,RF
2018-04-20,15,40,3,2018-04-20 15:40:00,RF
2018-04-20,15,49,2,2018-04-20 15:49:00,RF
2018-04-20,15,51,3,2018-04-20 15:51:00,RF
2018-04-20,16,0,3,2018-04-20 16:00:00,RF
2018-04-20,16,2,7,2018-04-20 16:02:00,RF
